arch,model,compiler,kernel,bandwidth
a100, raja, gcc8, dot, 1031.9
a100, raja, gcc8, dot, 1039.29
a100, raja, gcc8, dot, 1033.12
a100, raja, gcc8, dot, 1033.95
a100, raja, gcc8, dot, 1033.93
a100, raja, gcc8, complex_sum, 839.705
a100, raja, gcc8, complex_sum, 839.596
a100, raja, gcc8, complex_sum, 839.849
a100, raja, gcc8, complex_sum, 839.422
a100, raja, gcc8, complex_sum, 839.531
a100, raja, gcc8, complex_sum_soa, 619.206
a100, raja, gcc8, complex_sum_soa, 619.134
a100, raja, gcc8, complex_sum_soa, 618.948
a100, raja, gcc8, complex_sum_soa, 618.638
a100, raja, gcc8, complex_sum_soa, 619.071
a100, raja, gcc8, field_summary, 982.448
a100, raja, gcc8, field_summary, 967.329
a100, raja, gcc8, field_summary, 981.759
a100, raja, gcc8, field_summary, 973.991
a100, raja, gcc8, field_summary, 945.662
a100, kokkos, gcc8, dot, 1271.88
a100, kokkos, gcc8, dot, 1264.2
a100, kokkos, gcc8, dot, 1261.24
a100, kokkos, gcc8, dot, 1264.53
a100, kokkos, gcc8, dot, 1263.28
a100, kokkos, gcc8, complex_sum, 617.77
a100, kokkos, gcc8, complex_sum, 617.789
a100, kokkos, gcc8, complex_sum, 617.795
a100, kokkos, gcc8, complex_sum, 617.558
a100, kokkos, gcc8, complex_sum, 617.82
a100, kokkos, gcc8, complex_sum_soa, 566.385
a100, kokkos, gcc8, complex_sum_soa, 563.219
a100, kokkos, gcc8, complex_sum_soa, 562.713
a100, kokkos, gcc8, complex_sum_soa, 563.305
a100, kokkos, gcc8, complex_sum_soa, 562.74
a100, kokkos, gcc8, complex_min, 572.618
a100, kokkos, gcc8, complex_min, 572.726
a100, kokkos, gcc8, complex_min, 572.266
a100, kokkos, gcc8, complex_min, 572.276
a100, kokkos, gcc8, complex_min, 572.275
a100, kokkos, gcc8, field_summary, 49.6298
a100, kokkos, gcc8, field_summary, 49.955
a100, kokkos, gcc8, field_summary, 49.974
a100, kokkos, gcc8, field_summary, 49.9925
a100, kokkos, gcc8, field_summary, 49.9724
a100, kokkos, gcc8, describe, 387.455
a100, kokkos, gcc8, describe, 387.366
a100, kokkos, gcc8, describe, 387.455
a100, kokkos, gcc8, describe, 387.399
a100, kokkos, gcc8, describe, 387.39
a100, omp-target, nvhpc, dot, 1771.88
a100, omp-target, nvhpc, dot, 1770.28
a100, omp-target, nvhpc, dot, 1771.08
a100, omp-target, nvhpc, dot, 1773.41
a100, omp-target, nvhpc, dot, 1772.46
a100, omp-target, nvhpc, complex_sum_soa, 1737.68
a100, omp-target, nvhpc, complex_sum_soa, 1736.1
a100, omp-target, nvhpc, complex_sum_soa, 1737.14
a100, omp-target, nvhpc, complex_sum_soa, 1737.48
a100, omp-target, nvhpc, complex_sum_soa, 1738.05
a100, omp-target, nvhpc, field_summary, 1147.79
a100, omp-target, nvhpc, field_summary, 1152.44
a100, omp-target, nvhpc, field_summary, 1146.82
a100, omp-target, nvhpc, field_summary, 1154.06
a100, omp-target, nvhpc, field_summary, 1145.44
