arch,model,compiler,kernel,bandwidth
clx_1S, openmp, icpc, dot, 118.239
clx_1S, openmp, icpc, dot, 118.003
clx_1S, openmp, icpc, dot, 117.984
clx_1S, openmp, icpc, dot, 118.139
clx_1S, openmp, icpc, dot, 118.15
clx_1S, openmp, icpc, complex_sum, 122.127
clx_1S, openmp, icpc, complex_sum, 122.025
clx_1S, openmp, icpc, complex_sum, 122.243
clx_1S, openmp, icpc, complex_sum, 122.229
clx_1S, openmp, icpc, complex_sum, 122.241
clx_1S, openmp, icpc, complex_sum_soa, 118.054
clx_1S, openmp, icpc, complex_sum_soa, 117.952
clx_1S, openmp, icpc, complex_sum_soa, 117.953
clx_1S, openmp, icpc, complex_sum_soa, 118.001
clx_1S, openmp, icpc, complex_sum_soa, 118.038
clx_1S, openmp, icpc, complex_min, 80.4059
clx_1S, openmp, icpc, complex_min, 80.359
clx_1S, openmp, icpc, complex_min, 80.2876
clx_1S, openmp, icpc, complex_min, 80.2885
clx_1S, openmp, icpc, complex_min, 80.1937
clx_1S, openmp, icpc, field_summary, 106.918
clx_1S, openmp, icpc, field_summary, 107.044
clx_1S, openmp, icpc, field_summary, 106.75
clx_1S, openmp, icpc, field_summary, 107.06
clx_1S, openmp, icpc, field_summary, 106.997
clx_1S, openmp, icpc, describe, 64.8682
clx_1S, openmp, icpc, describe, 65.0656
clx_1S, openmp, icpc, describe, 65.0898
clx_1S, openmp, icpc, describe, 65.3283
clx_1S, openmp, icpc, describe, 65.1764
clx_1S, kokkos, icpc, dot, 113.986
clx_1S, kokkos, icpc, dot, 113.617
clx_1S, kokkos, icpc, dot, 113.539
clx_1S, kokkos, icpc, dot, 113.545
clx_1S, kokkos, icpc, dot, 113.609
clx_1S, kokkos, icpc, complex_sum, 117.028
clx_1S, kokkos, icpc, complex_sum, 116.874
clx_1S, kokkos, icpc, complex_sum, 116.793
clx_1S, kokkos, icpc, complex_sum, 117.202
clx_1S, kokkos, icpc, complex_sum, 117.027
clx_1S, kokkos, icpc, complex_sum_soa, 108.472
clx_1S, kokkos, icpc, complex_sum_soa, 108.549
clx_1S, kokkos, icpc, complex_sum_soa, 108.648
clx_1S, kokkos, icpc, complex_sum_soa, 108.576
clx_1S, kokkos, icpc, complex_sum_soa, 108.533
clx_1S, kokkos, icpc, complex_min, 111.745
clx_1S, kokkos, icpc, complex_min, 111.566
clx_1S, kokkos, icpc, complex_min, 111.629
clx_1S, kokkos, icpc, complex_min, 111.65
clx_1S, kokkos, icpc, complex_min, 111.71
clx_1S, kokkos, icpc, field_summary, 101.851
clx_1S, kokkos, icpc, field_summary, 101.813
clx_1S, kokkos, icpc, field_summary, 101.862
clx_1S, kokkos, icpc, field_summary, 101.787
clx_1S, kokkos, icpc, field_summary, 101.475
clx_1S, kokkos, icpc, describe, 62.4666
clx_1S, kokkos, icpc, describe, 62.5091
clx_1S, kokkos, icpc, describe, 62.4074
clx_1S, kokkos, icpc, describe, 62.4089
clx_1S, kokkos, icpc, describe, 62.5013
clx_1S, raja, icpc, dot, 113.737
clx_1S, raja, icpc, dot, 113.335
clx_1S, raja, icpc, dot, 113.279
clx_1S, raja, icpc, dot, 113.309
clx_1S, raja, icpc, dot, 112.888
clx_1S, raja, icpc, complex_sum, 81.4846
clx_1S, raja, icpc, complex_sum, 81.4752
clx_1S, raja, icpc, complex_sum, 81.4646
clx_1S, raja, icpc, complex_sum, 81.4746
clx_1S, raja, icpc, complex_sum, 81.4566
clx_1S, raja, icpc, complex_sum_soa, 113.405
clx_1S, raja, icpc, complex_sum_soa, 113.331
clx_1S, raja, icpc, complex_sum_soa, 113.481
clx_1S, raja, icpc, complex_sum_soa, 113.372
clx_1S, raja, icpc, complex_sum_soa, 113.386
clx_1S, raja, icpc, field_summary, 100.406
clx_1S, raja, icpc, field_summary, 99.9434
clx_1S, raja, icpc, field_summary, 99.8156
clx_1S, raja, icpc, field_summary, 99.6161
clx_1S, raja, icpc, field_summary, 100.046
clx_1S, raja, icpc, describe, 56.271
clx_1S, raja, icpc, describe, 56.451
clx_1S, raja, icpc, describe, 56.507
clx_1S, raja, icpc, describe, 56.3788
clx_1S, raja, icpc, describe, 56.4078
clx_1S, onedpl, clang, dot, 101.17
clx_1S, onedpl, clang, dot, 101.133
clx_1S, onedpl, clang, dot, 101.186
clx_1S, onedpl, clang, dot, 100.977
clx_1S, onedpl, clang, dot, 104.227
clx_1S, onedpl, clang, complex_sum, 107.41
clx_1S, onedpl, clang, complex_sum, 107.492
clx_1S, onedpl, clang, complex_sum, 107.449
clx_1S, onedpl, clang, complex_sum, 107.531
clx_1S, onedpl, clang, complex_sum, 107.386
clx_1S, onedpl, clang, complex_sum_soa, 100.397
clx_1S, onedpl, clang, complex_sum_soa, 100.279
clx_1S, onedpl, clang, complex_sum_soa, 100.419
clx_1S, onedpl, clang, complex_sum_soa, 100.342
clx_1S, onedpl, clang, complex_sum_soa, 100.37
clx_1S, onedpl, clang, complex_min, 98.1797
clx_1S, onedpl, clang, complex_min, 97.6261
clx_1S, onedpl, clang, complex_min, 97.0958
clx_1S, onedpl, clang, complex_min, 97.192
clx_1S, onedpl, clang, complex_min, 97.1264
clx_1S, onedpl, clang, describe, 105.768
clx_1S, onedpl, clang, describe, 105.823
clx_1S, onedpl, clang, describe, 105.869
clx_1S, onedpl, clang, describe, 105.783
clx_1S, onedpl, clang, describe, 105.791
clx_1S, sycl, dpcpp, dot, 59.4406
clx_1S, sycl, dpcpp, dot, 59.4785
clx_1S, sycl, dpcpp, dot, 58.5163
clx_1S, sycl, dpcpp, dot, 58.0569
clx_1S, sycl, dpcpp, dot, 58.9941
clx_1S, sycl, dpcpp, complex_sum, 71.7076
clx_1S, sycl, dpcpp, complex_sum, 71.4103
clx_1S, sycl, dpcpp, complex_sum, 71.6097
clx_1S, sycl, dpcpp, complex_sum, 71.667
clx_1S, sycl, dpcpp, complex_sum, 71.6594
clx_1S, sycl, dpcpp, complex_sum_soa, 44.869
clx_1S, sycl, dpcpp, complex_sum_soa, 44.7043
clx_1S, sycl, dpcpp, complex_sum_soa, 44.8549
clx_1S, sycl, dpcpp, complex_sum_soa, 44.9966
clx_1S, sycl, dpcpp, complex_sum_soa, 44.9544
clx_1S, sycl, dpcpp, complex_min, 36.6835
clx_1S, sycl, dpcpp, complex_min, 36.6745
clx_1S, sycl, dpcpp, complex_min, 36.7001
clx_1S, sycl, dpcpp, complex_min, 36.7087
clx_1S, sycl, dpcpp, complex_min, 36.7125
clx_1S, sycl, dpcpp, field_summary, 12.1811
clx_1S, sycl, dpcpp, field_summary, 12.1861
clx_1S, sycl, dpcpp, field_summary, 12.1891
clx_1S, sycl, dpcpp, field_summary, 12.1789
clx_1S, sycl, dpcpp, field_summary, 12.1405
clx_1S, sycl, dpcpp, describe, 9.13726
clx_1S, sycl, dpcpp, describe, 9.14359
clx_1S, sycl, dpcpp, describe, 9.1355
clx_1S, sycl, dpcpp, describe, 9.13183
clx_1S, sycl, dpcpp, describe, 9.13443
