arch,model,compiler,kernel,bandwidth
clx, openmp, icpc, dot, 235.287
clx, openmp, icpc, dot, 234.996
clx, openmp, icpc, dot, 235.123
clx, openmp, icpc, dot, 234.775
clx, openmp, icpc, dot, 234.846
clx, openmp, icpc, complex_sum, 243.244
clx, openmp, icpc, complex_sum, 243.117
clx, openmp, icpc, complex_sum, 241.519
clx, openmp, icpc, complex_sum, 238.966
clx, openmp, icpc, complex_sum, 238.498
clx, openmp, icpc, complex_sum_soa, 234.356
clx, openmp, icpc, complex_sum_soa, 234.884
clx, openmp, icpc, complex_sum_soa, 234.14
clx, openmp, icpc, complex_sum_soa, 234.857
clx, openmp, icpc, complex_sum_soa, 234.719
clx, openmp, icpc, complex_min, 157.596
clx, openmp, icpc, complex_min, 157.801
clx, openmp, icpc, complex_min, 157.853
clx, openmp, icpc, complex_min, 157.415
clx, openmp, icpc, complex_min, 157.711
clx, openmp, icpc, field_summary, 214.207
clx, openmp, icpc, field_summary, 213.39
clx, openmp, icpc, field_summary, 212.85
clx, openmp, icpc, field_summary, 213.193
clx, openmp, icpc, field_summary, 215.224
clx, openmp, icpc, describe, 125.867
clx, openmp, icpc, describe, 127.471
clx, openmp, icpc, describe, 129.046
clx, openmp, icpc, describe, 129.144
clx, openmp, icpc, describe, 128.507
clx, kokkos, icpc, dot, 224.347
clx, kokkos, icpc, dot, 221.183
clx, kokkos, icpc, dot, 221.578
clx, kokkos, icpc, dot, 222.067
clx, kokkos, icpc, dot, 219.722
clx, kokkos, icpc, complex_sum, 224.179
clx, kokkos, icpc, complex_sum, 224.435
clx, kokkos, icpc, complex_sum, 229.967
clx, kokkos, icpc, complex_sum, 229.075
clx, kokkos, icpc, complex_sum, 229.119
clx, kokkos, icpc, complex_sum_soa, 210.494
clx, kokkos, icpc, complex_sum_soa, 210.872
clx, kokkos, icpc, complex_sum_soa, 210.455
clx, kokkos, icpc, complex_sum_soa, 210.77
clx, kokkos, icpc, complex_sum_soa, 210.792
clx, kokkos, icpc, complex_min, 217.311
clx, kokkos, icpc, complex_min, 217.921
clx, kokkos, icpc, complex_min, 217.729
clx, kokkos, icpc, complex_min, 215.283
clx, kokkos, icpc, complex_min, 214.213
clx, kokkos, icpc, field_summary, 207.913
clx, kokkos, icpc, field_summary, 205.51
clx, kokkos, icpc, field_summary, 207
clx, kokkos, icpc, field_summary, 206.115
clx, kokkos, icpc, field_summary, 207.12
clx, kokkos, icpc, describe, 121.003
clx, kokkos, icpc, describe, 122.292
clx, kokkos, icpc, describe, 122.521
clx, kokkos, icpc, describe, 122.507
clx, kokkos, icpc, describe, 122.631
clx, raja, icpc, dot, 225.902
clx, raja, icpc, dot, 224.253
clx, raja, icpc, dot, 223.347
clx, raja, icpc, dot, 222.088
clx, raja, icpc, dot, 218.737
clx, raja, icpc, complex_sum, 40.8733
clx, raja, icpc, complex_sum, 41.1332
clx, raja, icpc, complex_sum, 40.8772
clx, raja, icpc, complex_sum, 41.1144
clx, raja, icpc, complex_sum, 41.3339
clx, raja, icpc, complex_sum_soa, 220.97
clx, raja, icpc, complex_sum_soa, 225.04
clx, raja, icpc, complex_sum_soa, 220.33
clx, raja, icpc, complex_sum_soa, 224.969
clx, raja, icpc, complex_sum_soa, 225.198
clx, raja, icpc, field_summary, 190.014
clx, raja, icpc, field_summary, 193.794
clx, raja, icpc, field_summary, 194.421
clx, raja, icpc, field_summary, 195.58
clx, raja, icpc, field_summary, 195.417
clx, raja, icpc, describe, 112.063
clx, raja, icpc, describe, 112.381
clx, raja, icpc, describe, 112.433
clx, raja, icpc, describe, 112.227
clx, raja, icpc, describe, 111.048
clx, onedpl, clang, dot, 107.632
clx, onedpl, clang, dot, 105.19
clx, onedpl, clang, dot, 106.009
clx, onedpl, clang, dot, 105.3
clx, onedpl, clang, dot, 107.509
clx, onedpl, clang, complex_sum, 104.05
clx, onedpl, clang, complex_sum, 103.108
clx, onedpl, clang, complex_sum, 99.7151
clx, onedpl, clang, complex_sum, 104.87
clx, onedpl, clang, complex_sum, 104.097
clx, onedpl, clang, complex_sum_soa, 102.861
clx, onedpl, clang, complex_sum_soa, 103.769
clx, onedpl, clang, complex_sum_soa, 104.303
clx, onedpl, clang, complex_sum_soa, 105.555
clx, onedpl, clang, complex_sum_soa, 103.372
clx, onedpl, clang, complex_min, 104.068
clx, onedpl, clang, complex_min, 103.307
clx, onedpl, clang, complex_min, 102.19
clx, onedpl, clang, complex_min, 101.393
clx, onedpl, clang, complex_min, 102.414
clx, onedpl, clang, describe, 104.365
clx, onedpl, clang, describe, 100.707
clx, onedpl, clang, describe, 101.672
clx, onedpl, clang, describe, 104.601
clx, onedpl, clang, describe, 103.568
clx, sycl, dpcpp, dot, 71.44
clx, sycl, dpcpp, dot, 71.0788
clx, sycl, dpcpp, dot, 71.4814
clx, sycl, dpcpp, dot, 72.4236
clx, sycl, dpcpp, dot, 71.3572
clx, sycl, dpcpp, complex_sum, 80.1249
clx, sycl, dpcpp, complex_sum, 80.4021
clx, sycl, dpcpp, complex_sum, 78.7916
clx, sycl, dpcpp, complex_sum, 80.1019
clx, sycl, dpcpp, complex_sum, 80.7771
clx, sycl, dpcpp, complex_sum_soa, 78.6912
clx, sycl, dpcpp, complex_sum_soa, 78.4545
clx, sycl, dpcpp, complex_sum_soa, 78.9188
clx, sycl, dpcpp, complex_sum_soa, 78.4808
clx, sycl, dpcpp, complex_sum_soa, 78.7028
clx, sycl, dpcpp, complex_min, 44.1622
clx, sycl, dpcpp, complex_min, 44.2922
clx, sycl, dpcpp, complex_min, 44.0266
clx, sycl, dpcpp, complex_min, 43.7671
clx, sycl, dpcpp, complex_min, 44.2051
clx, sycl, dpcpp, field_summary, 21.2929
clx, sycl, dpcpp, field_summary, 21.3077
clx, sycl, dpcpp, field_summary, 21.3066
clx, sycl, dpcpp, field_summary, 21.337
clx, sycl, dpcpp, field_summary, 21.2795
clx, sycl, dpcpp, describe, 16.8875
clx, sycl, dpcpp, describe, 16.8129
clx, sycl, dpcpp, describe, 16.7334
clx, sycl, dpcpp, describe, 16.7158
clx, sycl, dpcpp, describe, 16.7661
