arch,model,compiler,kernel,bandwidth
gen9, onedpl, clang, dot, 26.8689
gen9, onedpl, clang, dot, 26.8578
gen9, onedpl, clang, dot, 26.7661
gen9, onedpl, clang, dot, 26.7895
gen9, onedpl, clang, dot, 26.7431
gen9, onedpl, clang, complex_sum, 28.3048
gen9, onedpl, clang, complex_sum, 28.2287
gen9, onedpl, clang, complex_sum, 28.1534
gen9, onedpl, clang, complex_sum, 28.35
gen9, onedpl, clang, complex_sum, 28.2436
gen9, onedpl, clang, complex_sum_soa, 27.347
gen9, onedpl, clang, complex_sum_soa, 27.4175
gen9, onedpl, clang, complex_sum_soa, 27.6144
gen9, onedpl, clang, complex_sum_soa, 27.4769
gen9, onedpl, clang, complex_sum_soa, 27.5706
gen9, onedpl, clang, complex_min, 24.024
gen9, onedpl, clang, complex_min, 24.019
gen9, onedpl, clang, complex_min, 24.0351
gen9, onedpl, clang, complex_min, 24.0263
gen9, onedpl, clang, complex_min, 24.0673
gen9, omp-target, icpx, dot, 23.54
gen9, omp-target, icpx, dot, 23.5101
gen9, omp-target, icpx, dot, 23.5823
gen9, omp-target, icpx, dot, 23.4729
gen9, omp-target, icpx, dot, 23.4668
gen9, omp-target, icpx, complex_sum, 24.1338
gen9, omp-target, icpx, complex_sum, 24.5315
gen9, omp-target, icpx, complex_sum, 24.6215
gen9, omp-target, icpx, complex_sum, 24.167
gen9, omp-target, icpx, complex_sum, 24.2415
gen9, omp-target, icpx, complex_sum_soa, 22.7606
gen9, omp-target, icpx, complex_sum_soa, 22.9902
gen9, omp-target, icpx, complex_sum_soa, 22.6547
gen9, omp-target, icpx, complex_sum_soa, 22.8822
gen9, omp-target, icpx, complex_sum_soa, 22.9441
gen9, omp-target, icpx, complex_min, 13.1912
gen9, omp-target, icpx, complex_min, 13.2621
gen9, omp-target, icpx, complex_min, 13.2662
gen9, omp-target, icpx, complex_min, 13.2262
gen9, omp-target, icpx, complex_min, 13.2234
gen9, omp-target, icpx, field_summary, 4.12042
gen9, omp-target, icpx, field_summary, 4.25561
gen9, omp-target, icpx, field_summary, 4.26401
gen9, omp-target, icpx, field_summary, 4.24032
gen9, omp-target, icpx, field_summary, 4.11811
gen9, omp-target, icpx, describe, 17.7706
gen9, omp-target, icpx, describe, 17.6997
gen9, omp-target, icpx, describe, 17.6544
gen9, omp-target, icpx, describe, 17.4913
gen9, omp-target, icpx, describe, 17.7151
gen9, sycl, clang, dot, 25.8472
gen9, sycl, clang, dot, 25.861
gen9, sycl, clang, dot, 25.8541
gen9, sycl, clang, dot, 25.8457
gen9, sycl, clang, dot, 25.8511
gen9, sycl, clang, complex_sum, 25.5538
gen9, sycl, clang, complex_sum, 25.5752
gen9, sycl, clang, complex_sum, 25.5408
gen9, sycl, clang, complex_sum, 25.5506
gen9, sycl, clang, complex_sum, 25.5723
gen9, sycl, clang, complex_sum_soa, 21.4112
gen9, sycl, clang, complex_sum_soa, 21.3313
gen9, sycl, clang, complex_sum_soa, 21.3051
gen9, sycl, clang, complex_sum_soa, 21.3644
gen9, sycl, clang, complex_sum_soa, 21.3477
gen9, sycl, clang, complex_min, 25.2531
gen9, sycl, clang, complex_min, 25.261
gen9, sycl, clang, complex_min, 25.2559
gen9, sycl, clang, complex_min, 25.2861
gen9, sycl, clang, complex_min, 25.2505
gen9, sycl, clang, field_summary, 15.2015
gen9, sycl, clang, field_summary, 15.2672
gen9, sycl, clang, field_summary, 15.2731
gen9, sycl, clang, field_summary, 15.2689
gen9, sycl, clang, field_summary, 15.2817
gen9, sycl, clang, describe, 14.7764
gen9, sycl, clang, describe, 14.7755
gen9, sycl, clang, describe, 14.7817
gen9, sycl, clang, describe, 14.7943
gen9, sycl, clang, describe, 14.7723
gen9, kokkos-sycl, clang, dot, 27.4465
gen9, kokkos-sycl, clang, dot, 27.4536
gen9, kokkos-sycl, clang, dot, 27.5291
gen9, kokkos-sycl, clang, dot, 27.507
gen9, kokkos-sycl, clang, dot, 27.4843
gen9, kokkos-sycl, clang, complex_sum, 27.2963
gen9, kokkos-sycl, clang, complex_sum, 27.3652
gen9, kokkos-sycl, clang, complex_sum, 27.3644
gen9, kokkos-sycl, clang, complex_sum, 27.3667
gen9, kokkos-sycl, clang, complex_sum, 27.3819
gen9, kokkos-sycl, clang, complex_sum_soa, 26.5634
gen9, kokkos-sycl, clang, complex_sum_soa, 26.5435
gen9, kokkos-sycl, clang, complex_sum_soa, 26.5333
gen9, kokkos-sycl, clang, complex_sum_soa, 26.5414
gen9, kokkos-sycl, clang, complex_sum_soa, 26.5917
gen9, kokkos-sycl, clang, field_summary, 7.37528
gen9, kokkos-sycl, clang, field_summary, 7.3932
gen9, kokkos-sycl, clang, field_summary, 7.39515
gen9, kokkos-sycl, clang, field_summary, 7.39124
gen9, kokkos-sycl, clang, field_summary, 7.40247
gen9, kokkos-sycl, clang, describe, 9.91316
gen9, kokkos-sycl, clang, describe, 10.0497
gen9, kokkos-sycl, clang, describe, 10.0195
gen9, kokkos-sycl, clang, describe, 10.0718
gen9, kokkos-sycl, clang, describe, 9.99513
