arch,model,compiler,kernel,bandwidth
mi100, kokkos, hipcc, dot, 891.565
mi100, kokkos, hipcc, dot, 911.762
mi100, kokkos, hipcc, dot, 919.786
mi100, kokkos, hipcc, dot, 921.487
mi100, kokkos, hipcc, dot, 928.367
mi100, kokkos, hipcc, complex_sum, 933.111
mi100, kokkos, hipcc, complex_sum, 946.207
mi100, kokkos, hipcc, complex_sum, 944.004
mi100, kokkos, hipcc, complex_sum, 935.307
mi100, kokkos, hipcc, complex_sum, 944.936
mi100, kokkos, hipcc, complex_sum_soa, 919.984
mi100, kokkos, hipcc, complex_sum_soa, 916.28
mi100, kokkos, hipcc, complex_sum_soa, 898.99
mi100, kokkos, hipcc, complex_sum_soa, 926.517
mi100, kokkos, hipcc, complex_sum_soa, 918.624
mi100, kokkos, hipcc, complex_min, 561.158
mi100, kokkos, hipcc, complex_min, 559.654
mi100, kokkos, hipcc, complex_min, 614.052
mi100, kokkos, hipcc, complex_min, 612.812
mi100, kokkos, hipcc, complex_min, 616.636
mi100, kokkos, hipcc, field_summary, 86.06
mi100, kokkos, hipcc, field_summary, 85.7556
mi100, kokkos, hipcc, field_summary, 86.2407
mi100, kokkos, hipcc, field_summary, 85.7383
mi100, kokkos, hipcc, field_summary, 84.8024
mi100, kokkos, hipcc, describe, 854.727
mi100, kokkos, hipcc, describe, 856.208
mi100, kokkos, hipcc, describe, 855.241
mi100, kokkos, hipcc, describe, 848.77
mi100, kokkos, hipcc, describe, 854.008
mi100, omp-target, aomp, dot, 607.398
mi100, omp-target, aomp, dot, 606.264
mi100, omp-target, aomp, dot, 606.212
mi100, omp-target, aomp, dot, 607.823
mi100, omp-target, aomp, dot, 608.122
mi100, omp-target, aomp, complex_sum, 450.664
mi100, omp-target, aomp, complex_sum, 451.505
mi100, omp-target, aomp, complex_sum, 450.563
mi100, omp-target, aomp, complex_sum, 451.474
mi100, omp-target, aomp, complex_sum, 448.691
mi100, omp-target, aomp, complex_sum_soa, 291.385
mi100, omp-target, aomp, complex_sum_soa, 290.668
mi100, omp-target, aomp, complex_sum_soa, 290.717
mi100, omp-target, aomp, complex_sum_soa, 291.003
mi100, omp-target, aomp, complex_sum_soa, 286.209
mi100, omp-target, aomp, complex_min, 445.427
mi100, omp-target, aomp, complex_min, 446.053
mi100, omp-target, aomp, complex_min, 446.149
mi100, omp-target, aomp, complex_min, 444.396
mi100, omp-target, aomp, complex_min, 445.116
mi100, omp-target, aomp, field_summary, 192.01
mi100, omp-target, aomp, field_summary, 195.403
mi100, omp-target, aomp, field_summary, 195.924
mi100, omp-target, aomp, field_summary, 174.151
mi100, omp-target, aomp, field_summary, 198.481
mi100, raja, hipcc, dot, 598.651
mi100, raja, hipcc, dot, 601.371
mi100, raja, hipcc, dot, 595.654
mi100, raja, hipcc, dot, 595.434
mi100, raja, hipcc, dot, 598.742
mi100, raja, hipcc, complex_sum, 547.684
mi100, raja, hipcc, complex_sum, 549.382
mi100, raja, hipcc, complex_sum, 542.791
mi100, raja, hipcc, complex_sum, 548.498
mi100, raja, hipcc, complex_sum, 544.789
mi100, raja, hipcc, complex_sum_soa, 333.059
mi100, raja, hipcc, complex_sum_soa, 333.422
mi100, raja, hipcc, complex_sum_soa, 332.98
mi100, raja, hipcc, complex_sum_soa, 332.997
mi100, raja, hipcc, complex_sum_soa, 332.669
mi100, raja, hipcc, field_summary, 492.351
mi100, raja, hipcc, field_summary, 687.59
mi100, raja, hipcc, field_summary, 675.757
mi100, raja, hipcc, field_summary, 685.444
mi100, raja, hipcc, field_summary, 693.828
