arch,model,compiler,kernel,bandwidth
gen9, omp_target, icpx, dot, 22.1804
gen9, omp_target, icpx, complex_sum, 22.159
gen9, omp_target, icpx, complex_sum_soa, 21.7288
gen9, omp_target, icpx, complex_min, 11.4754
gen9, omp_target, icpx, field_summary, 4.24303
gen9, omp_target, icpx, describe, 16.975
gen9, sycl, dpcpp, dot, 24.7668
gen9, sycl, dpcpp, complex_sum, 24.5223
gen9, sycl, dpcpp, complex_sum_soa, 21.0235
gen9, sycl, dpcpp, complex_min, 17.7713
gen9, sycl, dpcpp, field_summary, 12.6522
gen9, sycl, dpcpp, describe, 14.6233
gen9, kokkos_sycl, dpcpp, dot, 24.773
gen9, kokkos_sycl, dpcpp, complex_sum, 24.5128
gen9, kokkos_sycl, dpcpp, complex_sum_soa, 24.9011
gen9, kokkos_sycl, dpcpp, field_summary, 15.1878
gen9, kokkos_sycl, dpcpp, describe, 14.9412

gen9, omp_target, icpx, dot, 22.2197
gen9, omp_target, icpx, complex_sum, 22.7725
gen9, omp_target, icpx, complex_sum_soa, 21.5158
gen9, omp_target, icpx, complex_min, 11.1654
gen9, omp_target, icpx, field_summary, 4.21807
gen9, omp_target, icpx, describe, 16.648
gen9, sycl, dpcpp, dot, 24.6606
gen9, sycl, dpcpp, complex_sum, 24.593
gen9, sycl, dpcpp, complex_sum_soa, 21.0955
gen9, sycl, dpcpp, complex_min, 17.7693
gen9, sycl, dpcpp, field_summary, 11.7444
gen9, sycl, dpcpp, describe, 14.9285
gen9, kokkos_sycl, dpcpp, dot, 25.7536
gen9, kokkos_sycl, dpcpp, complex_sum, 25.2912
gen9, kokkos_sycl, dpcpp, complex_sum_soa, 24.7886
gen9, kokkos_sycl, dpcpp, field_summary, 7.09376
gen9, kokkos_sycl, dpcpp, describe, 9.66253

gen9, omp_target, icpx, dot, 22.1635
gen9, omp_target, icpx, complex_sum, 22.5673
gen9, omp_target, icpx, complex_sum_soa, 21.6652
gen9, omp_target, icpx, complex_min, 11.1696
gen9, omp_target, icpx, field_summary, 4.23232
gen9, omp_target, icpx, describe, 16.979
gen9, sycl, dpcpp, dot, 24.8301
gen9, sycl, dpcpp, complex_sum, 24.6042
gen9, sycl, dpcpp, complex_sum_soa, 21.0629
gen9, sycl, dpcpp, complex_min, 17.7029
gen9, sycl, dpcpp, field_summary, 11.6947
gen9, sycl, dpcpp, describe, 14.9606
gen9, kokkos_sycl, dpcpp, dot, 25.7767
gen9, kokkos_sycl, dpcpp, complex_sum, 25.402
gen9, kokkos_sycl, dpcpp, complex_sum_soa, 24.6156
gen9, kokkos_sycl, dpcpp, field_summary, 7.05861
gen9, kokkos_sycl, dpcpp, describe, 10.3666

gen9, omp_target, icpx, dot, 22.3273
gen9, omp_target, icpx, complex_sum, 23.3034
gen9, omp_target, icpx, complex_sum_soa, 21.6227
gen9, omp_target, icpx, complex_min, 11.194
gen9, omp_target, icpx, field_summary, 4.11538
gen9, omp_target, icpx, describe, 16.8528
gen9, sycl, dpcpp, dot, 24.8069
gen9, sycl, dpcpp, complex_sum, 24.5598
gen9, sycl, dpcpp, complex_sum_soa, 21.0611
gen9, sycl, dpcpp, complex_min, 17.7463
gen9, sycl, dpcpp, field_summary, 11.758
gen9, sycl, dpcpp, describe, 14.9532
gen9, kokkos_sycl, dpcpp, dot, 25.6323
gen9, kokkos_sycl, dpcpp, complex_sum, 25.3782
gen9, kokkos_sycl, dpcpp, complex_sum_soa, 24.8983
gen9, kokkos_sycl, dpcpp, field_summary, 7.08268
gen9, kokkos_sycl, dpcpp, describe, 10.3038

gen9, omp_target, icpx, dot, 22.2599
gen9, omp_target, icpx, complex_sum, 23.4533
gen9, omp_target, icpx, complex_sum_soa, 21.8048
gen9, omp_target, icpx, complex_min, 11.1531
gen9, omp_target, icpx, field_summary, 4.12244
gen9, omp_target, icpx, describe, 16.7364
gen9, sycl, dpcpp, dot, 24.8063
gen9, sycl, dpcpp, complex_sum, 24.4682
gen9, sycl, dpcpp, complex_sum_soa, 21.0998
gen9, sycl, dpcpp, complex_min, 17.7945
gen9, sycl, dpcpp, field_summary, 11.7934
gen9, sycl, dpcpp, describe, 14.7702
gen9, kokkos_sycl, dpcpp, dot, 25.7727
gen9, kokkos_sycl, dpcpp, complex_sum, 25.406
gen9, kokkos_sycl, dpcpp, complex_sum_soa, 24.8916
gen9, kokkos_sycl, dpcpp, field_summary, 7.10436
gen9, kokkos_sycl, dpcpp, describe, 10.4092


