arch,model,compiler,kernel,bandwidth
rome, openmp, aocc, dot, 323.737
rome, openmp, aocc, dot, 323.908
rome, openmp, aocc, dot, 322.096
rome, openmp, aocc, dot, 322.901
rome, openmp, aocc, dot, 323.422
rome, openmp, aocc, complex_sum, 335.905
rome, openmp, aocc, complex_sum, 337.493
rome, openmp, aocc, complex_sum, 338.087
rome, openmp, aocc, complex_sum, 337.185
rome, openmp, aocc, complex_sum, 338.278
rome, openmp, aocc, complex_sum_soa, 323.103
rome, openmp, aocc, complex_sum_soa, 324.384
rome, openmp, aocc, complex_sum_soa, 323.366
rome, openmp, aocc, complex_sum_soa, 323.347
rome, openmp, aocc, complex_sum_soa, 322.893
rome, openmp, aocc, complex_min, 258.492
rome, openmp, aocc, complex_min, 259.49
rome, openmp, aocc, complex_min, 259.18
rome, openmp, aocc, complex_min, 259.713
rome, openmp, aocc, complex_min, 260.143
rome, openmp, aocc, field_summary, 386.287
rome, openmp, aocc, field_summary, 374.314
rome, openmp, aocc, field_summary, 359.792
rome, openmp, aocc, field_summary, 384.103
rome, openmp, aocc, field_summary, 381.39
rome, openmp, aocc, describe, 319.884
rome, openmp, aocc, describe, 320.697
rome, openmp, aocc, describe, 321.751
rome, openmp, aocc, describe, 313.777
rome, openmp, aocc, describe, 321.862
rome, kokkos, aocc, dot, 323.779
rome, kokkos, aocc, dot, 323.726
rome, kokkos, aocc, dot, 324.621
rome, kokkos, aocc, dot, 324.62
rome, kokkos, aocc, dot, 324.336
rome, kokkos, aocc, complex_sum, 334.831
rome, kokkos, aocc, complex_sum, 337.024
rome, kokkos, aocc, complex_sum, 332.936
rome, kokkos, aocc, complex_sum, 336.583
rome, kokkos, aocc, complex_sum, 336.609
rome, kokkos, aocc, complex_sum_soa, 324.173
rome, kokkos, aocc, complex_sum_soa, 324.504
rome, kokkos, aocc, complex_sum_soa, 323.108
rome, kokkos, aocc, complex_sum_soa, 323.44
rome, kokkos, aocc, complex_sum_soa, 323.526
rome, kokkos, aocc, complex_min, 329.389
rome, kokkos, aocc, complex_min, 331.596
rome, kokkos, aocc, complex_min, 333.405
rome, kokkos, aocc, complex_min, 332.914
rome, kokkos, aocc, complex_min, 332.662
rome, kokkos, aocc, field_summary, 336.343
rome, kokkos, aocc, field_summary, 307.019
rome, kokkos, aocc, field_summary, 303.698
rome, kokkos, aocc, field_summary, 324.334
rome, kokkos, aocc, field_summary, 302.348
rome, kokkos, aocc, describe, 326.218
rome, kokkos, aocc, describe, 326.553
rome, kokkos, aocc, describe, 325.142
rome, kokkos, aocc, describe, 326.296
rome, kokkos, aocc, describe, 325.232
rome, raja, aocc, dot, 319.96
rome, raja, aocc, dot, 321.916
rome, raja, aocc, dot, 322.138
rome, raja, aocc, dot, 320.586
rome, raja, aocc, dot, 322.639
rome, raja, aocc, complex_sum, 31.5758
rome, raja, aocc, complex_sum, 35.6154
rome, raja, aocc, complex_sum, 32.3889
rome, raja, aocc, complex_sum, 36.5797
rome, raja, aocc, complex_sum, 32.8484
rome, raja, aocc, complex_sum_soa, 322.864
rome, raja, aocc, complex_sum_soa, 323.513
rome, raja, aocc, complex_sum_soa, 322.855
rome, raja, aocc, complex_sum_soa, 322.534
rome, raja, aocc, complex_sum_soa, 322.411
rome, raja, aocc, field_summary, 335.842
rome, raja, aocc, field_summary, 331.288
rome, raja, aocc, field_summary, 343.355
rome, raja, aocc, field_summary, 307.969
rome, raja, aocc, field_summary, 339.348
rome, raja, aocc, describe, 295.651
rome, raja, aocc, describe, 295.762
rome, raja, aocc, describe, 295.161
rome, raja, aocc, describe, 295.007
rome, raja, aocc, describe, 295.22
