arch,model,compiler,kernel,bandwidth
rome, openmp, cce, dot, 324.438
rome, openmp, cce, dot, 329.257
rome, openmp, cce, dot, 328.887
rome, openmp, cce, dot, 329.235
rome, openmp, cce, dot, 328.541
rome, openmp, cce, complex_sum, 337.736
rome, openmp, cce, complex_sum, 337.771
rome, openmp, cce, complex_sum, 338.07
rome, openmp, cce, complex_sum, 337.83
rome, openmp, cce, complex_sum, 337.726
rome, openmp, cce, complex_sum_soa, 328.579
rome, openmp, cce, complex_sum_soa, 329.198
rome, openmp, cce, complex_sum_soa, 328.844
rome, openmp, cce, complex_sum_soa, 329.024
rome, openmp, cce, complex_sum_soa, 328.822
rome, openmp, cce, complex_min, 296.253
rome, openmp, cce, complex_min, 295.956
rome, openmp, cce, complex_min, 295.741
rome, openmp, cce, complex_min, 295.552
rome, openmp, cce, complex_min, 295.378
rome, openmp, cce, field_summary, 363.102
rome, openmp, cce, field_summary, 349.734
rome, openmp, cce, field_summary, 349.679
rome, openmp, cce, field_summary, 348.144
rome, openmp, cce, field_summary, 348.327
rome, openmp, cce, describe, 319.667
rome, openmp, cce, describe, 323.05
rome, openmp, cce, describe, 328.342
rome, openmp, cce, describe, 328.148
rome, openmp, cce, describe, 328.465
rome, kokkos, cce, dot, 328.503
rome, kokkos, cce, dot, 329.108
rome, kokkos, cce, dot, 327.825
rome, kokkos, cce, dot, 328.008
rome, kokkos, cce, dot, 328.674
rome, kokkos, cce, complex_sum, 336.907
rome, kokkos, cce, complex_sum, 335.951
rome, kokkos, cce, complex_sum, 336.453
rome, kokkos, cce, complex_sum, 336.611
rome, kokkos, cce, complex_sum, 336.722
rome, kokkos, cce, complex_sum_soa, 329.764
rome, kokkos, cce, complex_sum_soa, 329.25
rome, kokkos, cce, complex_sum_soa, 323.986
rome, kokkos, cce, complex_sum_soa, 324.143
rome, kokkos, cce, complex_sum_soa, 329.235
rome, kokkos, cce, complex_min, 227.861
rome, kokkos, cce, complex_min, 227.193
rome, kokkos, cce, complex_min, 227.469
rome, kokkos, cce, complex_min, 226.838
rome, kokkos, cce, complex_min, 227.233
rome, kokkos, cce, field_summary, 324.676
rome, kokkos, cce, field_summary, 329.221
rome, kokkos, cce, field_summary, 317.643
rome, kokkos, cce, field_summary, 307.374
rome, kokkos, cce, field_summary, 320.865
rome, kokkos, cce, describe, 256.308
rome, kokkos, cce, describe, 256.828
rome, kokkos, cce, describe, 257.258
rome, kokkos, cce, describe, 256.161
rome, kokkos, cce, describe, 257.064
rome, raja, cce, raja, 326.48
rome, raja, cce, raja, 326.414
rome, raja, cce, raja, 322.372
rome, raja, cce, raja, 321.135
rome, raja, cce, raja, 324.991
rome, raja, cce, complex_sum, 37.1792
rome, raja, cce, complex_sum, 37.1713
rome, raja, cce, complex_sum, 37.5024
rome, raja, cce, complex_sum, 38.4016
rome, raja, cce, complex_sum, 38.4496
rome, raja, cce, complex_sum_soa, 325.9
rome, raja, cce, complex_sum_soa, 325.93
rome, raja, cce, complex_sum_soa, 324.172
rome, raja, cce, complex_sum_soa, 326.692
rome, raja, cce, complex_sum_soa, 325.81
rome, raja, cce, field_summary, 329.913
rome, raja, cce, field_summary, 330.763
rome, raja, cce, field_summary, 322.77
rome, raja, cce, field_summary, 318.991
rome, raja, cce, field_summary, 322.001
rome, raja, cce, describe, 290.617
rome, raja, cce, describe, 290.349
rome, raja, cce, describe, 290.623
rome, raja, cce, describe, 290.415
rome, raja, cce, describe, 290.541
